file,player,build,replay,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
-8hrEbfZnuvzzijadB5dCPslUDkR_Xg1tW41Ne--azc.rep,ProGamerMatt,,2179,2321,3090,3103,4292,5940,6650
-8hrEbfZnuvzzijadB5dCPslUDkR_Xg1tW41Ne--azc.rep,mangochaz,,2775,3004,2360,-1,12008,13685,4756
-9fLlv91gu_tCAA4Mlk7twltqR-1eKs0pm0_-L9yK98.rep,TomasPlay,,1823,1890,-1,-1,3146,4719,3597
-9fLlv91gu_tCAA4Mlk7twltqR-1eKs0pm0_-L9yK98.rep,Gandalfin,,1771,1904,-1,-1,3192,4758,3659
-rQyDjMJFow4HKS0_pAqAImFwAU-Y8UTrVFv_6xqQac.rep,west_wind,,1781,1882,4037,-1,-1,-1,3462
-rQyDjMJFow4HKS0_pAqAImFwAU-Y8UTrVFv_6xqQac.rep,ProGamerMatt,,1807,2016,4427,4472,15975,-1,3249
0ZVN1NI6gPEl4JqvrtYqvfln_rM9Pprouet3bH9_zpo.rep,행복스타맨,,1361,5710,4008,14176,10205,12100,9399
0ZVN1NI6gPEl4JqvrtYqvfln_rM9Pprouet3bH9_zpo.rep,비두로기,,1598,1924,4949,7392,7249,8834,3372
1sG0xU9wDb5WfSKR8T2YTRBgcFsAf_uLhSJFlRdMy_k.rep,RMB-Paraco,,2110,2414,4250,4354,5752,7426,3847
2JnC6qM__fd5_FfHiQXfPISv38k_87rG0IARKzacMGc.rep,P[]D,,2528,3655,2137,16734,5195,7220,13593
2JnC6qM__fd5_FfHiQXfPISv38k_87rG0IARKzacMGc.rep,ProGamerMatt,,1834,3580,2965,4802,13960,15500,4836
2wjS6LJHJD5prrdsBkNLVeK42HZGidyBaOmqJEBtBNM.rep,ProGamerMatt,,2819,2967,2458,12290,9504,-1,4399
2wjS6LJHJD5prrdsBkNLVeK42HZGidyBaOmqJEBtBNM.rep,larvafan,,2091,3158,2902,4928,9936,11528,4501
4JcGqEDC5bvaGFdnAJ7TUa8LMr-OUWVHLnNBq0YlQjo.rep,nOm.KilahAce,,3150,4033,2505,3966,5418,7161,5777
5FbT_OsMVQ8TBdAkMyj5blQ0cJvCgbQ4XIR92sd4chU.rep,ProGamerMatt,,1812,1950,7072,7352,3326,4848,-1
5FbT_OsMVQ8TBdAkMyj5blQ0cJvCgbQ4XIR92sd4chU.rep,BSL-dany,,1567,2720,9497,-1,4256,5896,-1
5lMlbMUOZcv67XY3wJpjvssFlkh8po2EZbTWY2Oz1SM.rep,ProGamerMatt,,2069,2302,3302,-1,3806,5456,4348
5lMlbMUOZcv67XY3wJpjvssFlkh8po2EZbTWY2Oz1SM.rep,mangochaz,,2737,3004,2319,13216,4316,5857,9206
6FAr23aL3aaD9dJfA2bbk5Qyk_a_BVZ8plW7gHYAex8.rep,mangochaz,,1770,1907,-1,-1,3398,-1,3906
6FAr23aL3aaD9dJfA2bbk5Qyk_a_BVZ8plW7gHYAex8.rep,testie123,,2765,-1,2301,3901,-1,-1,-1
6FAr23aL3aaD9dJfA2bbk5Qyk_a_BVZ8plW7gHYAex8.rep,limebean,,1850,1983,3014,-1,-1,-1,-1
6ZZQiwP2ZVq3TSXjOmFX_uHGNw8Sr-OKO4iIN6vk_xg.rep,ProGamerMatt,,2812,3355,2528,4398,4758,6473,-1
6ZZQiwP2ZVq3TSXjOmFX_uHGNw8Sr-OKO4iIN6vk_xg.rep,mangochaz,,1766,1936,4753,4782,3244,5350,-1
7B40x7UTndcKNSGrUg46-kwhBTF8bQDqH4ys8K7m99I.rep,ProGamerMatt,,1824,2088,-1,-1,5260,-1,-1
7B40x7UTndcKNSGrUg46-kwhBTF8bQDqH4ys8K7m99I.rep,BSL-dany,,1603,-1,-1,-1,-1,-1,-1
7UFkePak699zTjpovX775WM1RcaW4iXV6qdfoabZE7Q.rep,Spicy,,2519,4187,1872,-1,7141,-1,7288
7UFkePak699zTjpovX775WM1RcaW4iXV6qdfoabZE7Q.rep,행복스타맨,,2137,1596,4993,-1,3926,5563,3411
8_rP7-al61yTq0bLUre_v5jQKHzqNpHUZdah3aU1ohA.rep,ProGamerMatt,,2237,2310,3166,18746,4234,6830,11421
8_rP7-al61yTq0bLUre_v5jQKHzqNpHUZdah3aU1ohA.rep,limebean,,2845,3200,2416,17786,4874,6577,-1
9KCOXhhQ3At1m95D5Aff7bYhRF0zn3Z6E9OXUOcgAcM.rep,ProGamerMatt,,1878,2057,-1,-1,3324,4908,3731
9KCOXhhQ3At1m95D5Aff7bYhRF0zn3Z6E9OXUOcgAcM.rep,Arquimedes.,,1659,2188,-1,-1,3484,5505,4782
9kvJ8ACFYpOKq9Tz9F3BVUxhfJtIo0O1wbDi4tEMoas.rep,ProGamerMatt,,1829,3353,2933,-1,-1,-1,4690
9kvJ8ACFYpOKq9Tz9F3BVUxhfJtIo0O1wbDi4tEMoas.rep,mangochaz,,2045,2341,3508,4052,3556,5275,-1
AwwpJ5WoagluYnRGH9PUjlvn01WSpQf9qYu8uhoKCk8.rep,ProGamerMatt,,2220,2380,3035,15014,6612,8849,13241
AwwpJ5WoagluYnRGH9PUjlvn01WSpQf9qYu8uhoKCk8.rep,mangochaz,,1802,2185,4709,14158,3474,5593,14728
BiHHTjpbhtWZ_Tb-gGdIrNYg-9kO1SJIFa7ZIDg2CBY.rep,Polarity[BGN],,1881,2701,3533,6729,4847,-1,13552
BopJ4Xur6em9KNXCTpmNOhoVsLZU8wPfDozbL69LSTE.rep,행복스타맨,,1381,7498,7380,7461,13340,-1,8998
bRmrYAM5Vsn93T2AXX8mUEbP1G1H2nlDyERPw7HLiRk.rep,Landowner,,1834,2072,6810,-1,3333,5192,4268
bRmrYAM5Vsn93T2AXX8mUEbP1G1H2nlDyERPw7HLiRk.rep,Gandalfin,,2225,3620,3280,3394,10458,12557,6133
c9i7YTLqtu9td5AYzaW16QjEXu3tz4HPWlM7mB3c6ek.rep,TopChop1,,1568,1720,7484,-1,4194,5922,3266
c9i7YTLqtu9td5AYzaW16QjEXu3tz4HPWlM7mB3c6ek.rep,Ucm,,1839,1968,-1,-1,3835,5503,3185
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,C0CAINEBEAR,,1779,1317,9461,9498,4112,7960,3500
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,STI__,,2157,2496,3170,10504,8219,9909,4613
cW-TqDIWILtmosTxUqP5MGGmyfhl8Cw8G4RwlrYshv4.rep,TomasPlay,,1573,2069,8146,-1,3520,5765,3985
cW-TqDIWILtmosTxUqP5MGGmyfhl8Cw8G4RwlrYshv4.rep,Gandalfin,,1856,1960,-1,-1,3268,4857,-1
cW85p_8vswW2JIa5YRAQWnOkZnKdIVCDv4-UEVFtBNA.rep,비두로기,,1844,3957,3735,5385,10103,11860,7388
cW85p_8vswW2JIa5YRAQWnOkZnKdIVCDv4-UEVFtBNA.rep,LK99저글링,,1883,8346,3024,4380,-1,-1,-1
cW85p_8vswW2JIa5YRAQWnOkZnKdIVCDv4-UEVFtBNA.rep,킹갓제네럴썬더라,,1941,2384,3139,3457,12360,-1,4427
D5lgmnnZChrldQSUjdNUcBnXnFWoxDNspAn_ZuZ5IFM.rep,ProGamerMatt,,2236,2326,3018,-1,-1,-1,4939
D5lgmnnZChrldQSUjdNUcBnXnFWoxDNspAn_ZuZ5IFM.rep,Death__yell,,1630,1880,4722,4734,-1,-1,3035
D5lgmnnZChrldQSUjdNUcBnXnFWoxDNspAn_ZuZ5IFM.rep,mangochaz,,2811,2926,2406,-1,4178,6371,-1
dnXQicAQStsmI0NvUlr_G_peeHtPUtLkZpF7-jSAKxQ.rep,llIlIlll,,2043,2322,3212,-1,-1,-1,3535
dnXQicAQStsmI0NvUlr_G_peeHtPUtLkZpF7-jSAKxQ.rep,GongBiao,,1821,1926,5811,-1,3202,4785,-1
DtYzB5Is_Obh20B_wQU7f6rgmwUOUdTuXtfpUY7n0E0.rep,Gandalfin,,1853,1934,-1,-1,3223,4781,-1
DtYzB5Is_Obh20B_wQU7f6rgmwUOUdTuXtfpUY7n0E0.rep,bsmurf,,2922,2177,2477,5835,9052,12516,6538
duoRbjAGxKrPveTYiyL32Zd48DDEyYVnPh1bI2d3g9s.rep,mustangas,,2203,2353,4961,11464,3776,5942,-1
duoRbjAGxKrPveTYiyL32Zd48DDEyYVnPh1bI2d3g9s.rep,ZouLslayer(NOR),,2786,2987,2471,-1,-1,-1,5406
duoRbjAGxKrPveTYiyL32Zd48DDEyYVnPh1bI2d3g9s.rep,Frank[DUX],,2194,2295,3204,3224,4015,5644,-1
eA6UQhEniZUVXJmWIKYjgBW3pGuQD4QXXYDZqb5Ya5M.rep,terS,,2352,2377,4597,4675,3655,5536,4099
eA6UQhEniZUVXJmWIKYjgBW3pGuQD4QXXYDZqb5Ya5M.rep,BissCayne,,2048,3068,2967,-1,4373,6466,-1
EHwiGjLLEsXUcTsqwa8ql0OEuDTr67c0FhkEWWhEO8g.rep,ProGamerMatt,,1334,5054,3649,-1,-1,-1,6600
Em5riK65_OlqNOPCnXm_ZHTcXXkBGmjKmwdEl4UM1KI.rep,spling,,1544,1892,4761,-1,6926,8506,3183
Em5riK65_OlqNOPCnXm_ZHTcXXkBGmjKmwdEl4UM1KI.rep,TomasPlay,,2752,2971,2294,-1,4195,5958,-1
Em5riK65_OlqNOPCnXm_ZHTcXXkBGmjKmwdEl4UM1KI.rep,Probal,,1552,1852,4234,-1,11421,-1,3088
eRrUGYWqkGYduUGxBPhsQakYCl9ykH6vvXKmawlE_WU.rep,BSL-andy,,1794,1929,-1,-1,3496,5423,-1
eRrUGYWqkGYduUGxBPhsQakYCl9ykH6vvXKmawlE_WU.rep,Vxtory,,2210,3222,3066,4124,-1,-1,4572
eRrUGYWqkGYduUGxBPhsQakYCl9ykH6vvXKmawlE_WU.rep,Probal,,1551,1874,-1,-1,3918,5525,3194
eVLdwky-9qhNGi_1CcA_DpDrmkF-EGoRHxPRHAcb2TM.rep,Spicy,,2441,4596,1814,4456,9530,-1,16875
eVLdwky-9qhNGi_1CcA_DpDrmkF-EGoRHxPRHAcb2TM.rep,행복스타맨,,1847,5160,3080,4107,6513,8593,10229
EZdXQAxEiRmZM0CBp23FDnw84-qYPk-5UTZ73qaLt80.rep,ProGamerMatt,,967,-1,-1,-1,-1,-1,-1
EZdXQAxEiRmZM0CBp23FDnw84-qYPk-5UTZ73qaLt80.rep,mangochaz,,1557,1829,-1,-1,-1,-1,3098
f23ObAs1CdnBGAXIqRGuF3zaBWa_rP19SMu29u5eOvQ.rep,newbb,,2812,4557,2438,3792,-1,-1,-1
f23ObAs1CdnBGAXIqRGuF3zaBWa_rP19SMu29u5eOvQ.rep,Michael_Faraday,,1579,3819,3651,-1,-1,-1,5444
faEeKPUd3ALwbNA39lKvqKn-Gm0C2gfIXwtnQ7yBv6I.rep,행복스타맨,,1369,12704,4114,15106,19554,22395,19572
fJlkfnx8YE7UosRXVvSHHB_xeNCq1niSE98YSS-70Ns.rep,TomasPlay,,1590,2072,-1,-1,3319,5347,-1
fJlkfnx8YE7UosRXVvSHHB_xeNCq1niSE98YSS-70Ns.rep,Gandalfin,,1597,1869,-1,-1,3805,5499,3116
FNbpVtkAbpE3c9zbYgL0h6WG2itmQU6OVK4JJ85jgyU.rep,ZouLslayer(NOR),,2715,2885,2261,5806,12425,-1,4216
gDDZl9IgNFgAEA0l3U4LdFR4yrmvmxygWn4B-a8j6og.rep,ZouLslayer(NOR),,2251,2811,2987,4808,6779,-1,-1
GsCS5VIrJEK_uNufSEVmly4jyLllFKZYjcVnqrgJTHY.rep,LK99저글링,,2292,1537,3249,9307,13341,15503,4079
GsCS5VIrJEK_uNufSEVmly4jyLllFKZYjcVnqrgJTHY.rep,킹갓제네럴썬더라,,1663,1866,4944,11507,17778,19507,3127
HEj_QWy6vlnGoyisOrwrfZ5kGoXqJioOIHP_2rTLOW0.rep,ProGamerMatt,,2307,2518,3333,3346,4011,5568,-1
HEj_QWy6vlnGoyisOrwrfZ5kGoXqJioOIHP_2rTLOW0.rep,mangochaz,,2176,2987,2862,-1,-1,-1,4173
Heqjk7T97-AcCSzS8WQnOuqZ4wFhwhSd1f9oG9yq7w0.rep,TomasPlay,,2127,2954,2857,17313,10577,12276,4286
Heqjk7T97-AcCSzS8WQnOuqZ4wFhwhSd1f9oG9yq7w0.rep,Gandalfin,,1850,2041,3841,18069,5152,6869,3299
hJl7Sa9UEJx99Y4AN5297DnSaPXPC9EhgatyS1_oGUc.rep,Spicy,,1696,3475,2745,6085,9348,-1,-1
hJl7Sa9UEJx99Y4AN5297DnSaPXPC9EhgatyS1_oGUc.rep,행복스타맨,,1880,2597,3773,8286,14587,-1,4059
I0vJUFmUbM_5MOL_h7qaZcW2lHLF6BsAq12BTgbne4A.rep,TomasPlay,,1618,1704,7756,-1,3825,-1,3101
I0vJUFmUbM_5MOL_h7qaZcW2lHLF6BsAq12BTgbne4A.rep,Gandalfin,,1837,1938,6494,9744,3240,5084,-1
I0vJUFmUbM_5MOL_h7qaZcW2lHLF6BsAq12BTgbne4A.rep,wantsumfuk,,2494,1298,2026,5153,-1,-1,7749
i63LjnOq6MUC7UaN_ATc6kfqlqHcN879x3MHaRHPme4.rep,행복스타맨,,1330,6744,4036,7177,-1,-1,10134
i63LjnOq6MUC7UaN_ATc6kfqlqHcN879x3MHaRHPme4.rep,킹갓제네럴썬더라,,2642,5233,2057,7291,-1,-1,-1
IhT8Ho8HHGNLH8oHLt-IhfYw5E1KnHNqVTwvytp0ziw.rep,킹갓제네럴썬더라,,1742,2387,3198,-1,-1,-1,-1
IhT8Ho8HHGNLH8oHLt-IhfYw5E1KnHNqVTwvytp0ziw.rep,행복스타맨,,1341,-1,-1,-1,-1,-1,-1
IhT8Ho8HHGNLH8oHLt-IhfYw5E1KnHNqVTwvytp0ziw.rep,비두로기,,1628,1898,-1,-1,-1,-1,3177
IQsI0TlPqbBPfSxwr-4-ob1ZXTLG2dAilQk4F1-67kU.rep,Ikz,,2844,3236,2423,10686,5028,6732,24257
IyqW78yjdygzbfGPI2Uw_wUtpStqqmjMlPbl0j1Y7vg.rep,TerraHydraCanno,,1538,1777,4103,10765,-1,-1,2954
IyqW78yjdygzbfGPI2Uw_wUtpStqqmjMlPbl0j1Y7vg.rep,MilIe-FeuilIe,,4060,3478,2357,3362,9046,-1,-1
jy4eCSOYqkLBgbEKZP0WeePj8ZmiKPDwWdTxeoqlsk4.rep,Death__yell,,1606,1865,4833,-1,-1,-1,3086
jy4eCSOYqkLBgbEKZP0WeePj8ZmiKPDwWdTxeoqlsk4.rep,ProGamerMatt,,1856,2020,4229,4241,-1,-1,3317
jy4eCSOYqkLBgbEKZP0WeePj8ZmiKPDwWdTxeoqlsk4.rep,mangochaz,,2173,2263,4615,-1,3612,-1,5035
keDGrEyCUxsG4TOFEKvwY3iYfCbR5HOnZGrr8J7Tggg.rep,ProGamerMatt,,1815,2229,7187,7493,3499,5052,4173
keDGrEyCUxsG4TOFEKvwY3iYfCbR5HOnZGrr8J7Tggg.rep,IlllIIIIIII,,1827,2333,3559,3721,5462,-1,4139
